ciclo;grado;estado_eval;codigo;amie;nm_regi;es_regeva;id_zona;id_dist;id_circ;id_prov;id_cant;id_parr;financiamiento;sostenimiento;tp_sexo;na_eano;tp_area;etnibee;quintil;fac_exp;isec;inev;imat;ilyl;icn;ies;nl_inev;nl_imat;nl_ilyl;nl_icn;nl_ies
2018-2019;4;2;QXLSXTD507;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2010;2;4;2;999999;-,774844265;642,18;671,84;744;644,79;508,1;0;0;1;0;0
2018-2019;7;2;A9SKHZX559;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2007;2;4;3;999999;-,234347767;575,18;495,44;629,74;663,43;512,1;0;0;0;0;0
2018-2019;4;2;1XCL9DS507;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2010;2;5;2;999999;-,980883946;683,12;632,34;637,07;742,09;720,99;0;0;0;1;1
2018-2019;4;2;NKZBB05508;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2008;2;4;1;999999;-1,845311648;534,8;513,38;596,84;499,69;529,31;0;0;0;0;0
2018-2019;7;2;4MB27TH560;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2007;2;4;1;999999;-1,738160738;749,21;594,56;811,88;820,53;769,87;1;0;2;2;1
2018-2019;7;2;8VBGUU0550;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2007;2;4;5;999999;1,492785702;668,25;567,77;668,99;802,23;634,02;0;0;0;2;0
2018-2019;4;2;5ARMIEY507;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2010;2;4;1;999999;-2,168624526;590,17;556,55;605,62;648,71;549,79;0;0;0;0;0
2018-2019;4;2;MJ9SBCB508;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2009;2;4;1;999999;-2,058665917;746,98;776,67;772,69;682,85;755,71;1;1;1;0;1
2018-2019;7;2;B2RBOLA559;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2007;2;4;2;999999;-,705493807;661,32;640,01;659,25;683,23;662,79;0;0;0;0;0
2018-2019;7;2;VE6DEEZ560;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2006;2;3;3;999999;,105325696;609,38;528,13;588,43;666,8;654,18;0;0;0;0;0
2018-2019;7;2;AX4H8T8560;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2007;2;4;3;999999;,439324245;519,4;532,52;535,67;541,74;467,69;0;0;0;0;0
2018-2019;7;2;ZJOOIED559;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2006;2;4;1;999999;-1,559831813;665,9;645,5;765,96;664,19;587,97;0;0;1;0;0
2018-2019;4;1;9TX41V1507;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2010;2;4;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
2018-2019;4;2;EFCF0VL502;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2011;2;4;1;999999;-1,291299875;681,79;620,63;721,48;745,92;639,15;0;0;1;1;0
2018-2019;7;2;VDA5P1Y560;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2007;2;4;1;999999;-1,293977475;619,56;627,71;595,71;623,22;631,61;0;0;0;0;0
2018-2019;4;2;CVS3H5U508;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2010;2;4;5;999999;1,785087746;648,28;646,65;618,57;657,34;670,57;0;0;0;0;0
2018-2019;4;2;X0DUF3A508;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2009;2;4;1;999999;-2,016079572;661,88;592,87;664,24;687,42;702,99;0;0;0;0;1
2018-2019;7;2;ZFDXBWP559;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2007;2;3;1;999999;-1,989706472;717,99;631,6;857,63;665,2;717,51;1;0;2;0;1
2018-2019;4;2;99TF311507;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2010;2;3;1;999999;-1,811011393;592,94;596,2;534,99;655,7;584,88;0;0;0;0;0
2018-2019;4;2;7A0NC36508;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2009;2;4;2;999999;-1,10956515;511,01;588,37;483,38;454,92;517,36;0;0;0;0;0
2018-2019;7;2;GXP1NTR560;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2006;2;4;4;999999;,726174689;546,18;537,61;538,11;595,98;513,01;0;0;0;0;0
2018-2019;7;2;WFBF4LD560;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2007;2;4;4;999999;1,348077942;625,2;585,83;578,13;677,19;659,66;0;0;0;0;0
2018-2019;4;2;ZB6FOHT507;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2010;2;999999;4;999999;1,20400013;580,13;607,92;566,17;575,18;571,24;0;0;0;0;0
2018-2019;7;2;T40LMU1560;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2007;2;4;3;999999;,330329873;673,68;694,76;643,59;663,88;692,5;0;0;0;0;0
2018-2019;7;2;UFUASDQ560;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2006;2;4;1;999999;-1,29985848;589,46;548,08;628,95;503,65;677,15;0;0;0;0;0
2018-2019;7;2;J906U8A561;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2007;2;3;1;999999;-1,357416476;582,25;572,17;603,41;555,24;598,18;0;0;0;0;0
2018-2019;4;2;QMSTRXE506;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2010;2;4;1;999999;-1,466260296;663,94;623,31;715,61;637,62;679,22;0;0;1;0;0
2018-2019;7;2;42RV282559;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2007;2;4;3;999999;-,055408792;654,21;717,75;720,23;620,22;558,64;0;1;1;0;0
2018-2019;4;2;TP1MXF3507;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2009;2;3;1;999999;-1,817722657;606,34;607,29;607,91;673,89;536,28;0;0;0;0;0
2018-2019;4;2;WFDEZ6V508;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2010;2;3;1;999999;-1,484240446;654;590,22;623,94;694,83;707,01;0;0;0;0;1
2018-2019;4;2;PSNLVTZ508;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2010;2;4;3;999999;,23037397;815,94;836,71;766,08;923,98;736,98;2;2;1;2;1
2018-2019;7;2;VCCVAAT560;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2006;2;1;1;999999;-1,545796037;580,22;573,29;587,17;589,93;570,48;0;0;0;0;0
2018-2019;4;2;GAYCRP0503;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2009;2;4;5;999999;1,437978476;615,25;583,56;586,54;684,65;606,25;0;0;0;0;0
2018-2019;4;2;QWDAGAW508;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2009;2;3;1;999999;-1,379081642;675,51;713,08;663;655,21;670,75;0;1;0;0;0
2018-2019;7;2;78ZCMAC559;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2006;2;4;4;999999;1,052262141;589,95;523,81;654,16;635,25;546,6;0;0;0;0;0
2018-2019;7;2;JX2EFPJ560;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;2;2007;2;4;3;999999;,112771424;777,33;678,15;830,61;839,07;761,48;1;0;2;2;1
2018-2019;4;2;1E5SPTL501;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2009;2;4;2;999999;-,951113299;654,46;743,46;624,77;665,37;584,24;0;1;0;0;0
2018-2019;7;2;WJUSHEI559;20B00001;4;1;5;20D01;20D01C01;20;2003;200350;1;4;1;2007;2;4;1;999999;-2,024529273;693,99;682,44;712,16;758,86;622,5;0;0;1;1;0
2018-2019;10;2;2WC6MGY455;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;2;2004;2;999999;2;999999;-,747989609;639,6;638,57;676,36;687,87;555,61;0;0;0;0;0
2018-2019;10;2;IJJNFQ7592;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;1;2003;2;4;2;999999;-,979422748;722,57;658,74;734,02;782,41;715,09;1;0;1;1;1
2018-2019;10;2;D70KWLT454;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;2;2004;2;2;4;999999;1,127846221;653,5;590,14;644,41;750,01;629,43;0;0;0;1;0
2018-2019;10;2;IS1TM5A452;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;1;2004;2;4;5;999999;1,479610162;768,25;699,66;836,44;845,63;691,26;1;0;2;2;0
2018-2019;10;2;U5H7WZ4454;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;1;2004;2;999999;5;999999;1,662102433;547,87;559;615,06;536,42;481,01;0;0;0;0;0
2018-2019;10;2;YRD4PWR453;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;1;2004;2;999999;5;999999;1,516627795;728,4;605,18;700,31;772,86;835,27;1;0;1;1;2
2018-2019;7;2;D8G5DEU562;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;1;2006;2;4;4;999999;1,318426493;738,99;693,24;811,21;734,63;716,87;1;0;2;1;1
2018-2019;10;2;XB24MPU450;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;1;2004;2;999999;4;999999;,899008083;631,97;601,14;674,34;674,88;577,53;0;0;0;0;0
2018-2019;7;2;BBVFWIT565;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;2;2007;2;4;3;999999;,052349463;845,23;758,23;879,92;914,38;828,39;2;1;2;2;2
2018-2019;10;2;DLRFMJ5455;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;2;2004;2;999999;4;999999;1,162965052;555,43;523,95;552,35;560,22;585,19;0;0;0;0;0
2018-2019;10;2;0QCYDSG450;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;1;2004;2;4;5;999999;2,263525569;581,84;609,99;558,63;610,95;547,8;0;0;0;0;0
2018-2019;10;2;X7S9UNT454;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;1;2004;2;4;5;999999;1,59648196;749,16;616,83;758,74;844,6;776,46;1;0;1;2;1
2018-2019;7;2;266JGAF593;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;2;2006;2;4;5;999999;1,609813995;770,04;776,79;795,55;773,17;734,65;1;1;1;1;1
2018-2019;4;2;F28CE5G509;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;1;2010;2;999999;4;999999;,69967274;730,38;647,87;771,9;793,13;708,63;1;0;1;1;1
2018-2019;7;1;PF8JFJD563;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;1;2006;2;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
2018-2019;4;1;3FEND1E511;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;2;2010;2;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
2018-2019;4;1;MIG1TNE510;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;1;2009;2;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
2018-2019;10;2;Z9BN480454;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;2;2003;2;999999;5;999999;1,55291104;587,63;667,34;541,34;590,03;551,81;0;0;0;0;0
2018-2019;10;1;BC674MU457;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;2;2004;2;4;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
2018-2019;4;2;BC2A3U4511;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;2;2009;2;4;4;999999;1,268321261;644,38;619,18;622,14;661,98;674,23;0;0;0;0;0
2018-2019;4;2;1RIWEED511;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;2;2009;2;999999;5;999999;1,790720141;698,88;761,64;644,97;751,94;636,98;0;1;0;1;0
2018-2019;4;2;Z38NSMU512;20H00001;4;1;5;20D01;20D01C03;20;2001;200150;3;3;2;2009;2;999999;5;999999;1,78873101;625,28;546,68;682,49;549,99;721,98;0;0;0;0;1
